fileName,startTime,endTime,userID,cView,labelClass
Dashboard_user_id_24491_NoAudio_0.24491.233.265.MP4,233,265,24491,1,5
Dashboard_user_id_24491_NoAudio_1.24491.137.166.MP4,137,166,24491,1,5
Dashboard_User_id_24026_NoAudio_3.24026.369.385.MP4,369,385,24026,1,5
Dashboard_User_id_24026_NoAudio_4.24026.385.401.MP4,385,401,24026,1,5
Dashboard_user_id_35133_NoAudio_0.35133.280.300.MP4,280,300,35133,1,5
Dashboard_user_id_35133_NoAudio_2.35133.216.237.MP4,216,237,35133,1,5
Dashboard_User_id_38058_NoAudio_0.38508.541.560.MP4,541,560,38508,1,5
Dashboard_User_id_38058_NoAudio_1.38508.563.582.MP4,563,582,38508,1,5
Dashboard_user_id_49381_NoAudio_0.49381.452.469.MP4,452,469,49381,1,5
Dashboard_user_id_49381_NoAudio_1.49381.461.478.MP4,461,478,49381,1,5
